cohort,seed,highlight,replicate_index,leg,direction,out_files,malformed_lines,n,mean,sd,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,tail_state,tail_state_p99,tail_state_frac_gt150,n_states_declared,n_cycles,gate_passed,total_round_trips,min_adjacent_pair,min_adjacent_crossing,nan_any,root
w23a_gateA,s23,False,2,free,dminus,15,0,12000,64.30519832977302,56.81543372776437,51.4535119839,173.15583430288999,188.758132948561,199.727339484,0.20708333333333334,0.13358333333333333,0.030583333333333334,14,195.743485765825,0.93375,15,800,True,3,12-13,292,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/free/rep2
w23a_gateA,s42,False,3,free,dplus,15,0,12000,63.9119828698587,56.45896404551666,50.76969650005,172.89515533507998,187.699096024192,199.5791634758,0.2035,0.13083333333333333,0.027166666666666665,0,196.11292288784398,0.96625,15,800,True,2,1-2,242,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/free/rep3
w23a_gateA,s42,False,3,free,dminus,15,0,12000,66.36609316781511,57.44477846656591,53.3405252898,171.83131538302501,188.303670792864,199.1378141957,0.242,0.126,0.025666666666666667,14,196.270109909158,0.94,15,800,True,2,3-4,312,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/free/rep3
w23a_gateA,s101,True,4,free,dplus,15,0,12000,65.89689790916546,57.98631714905572,52.4362013399,174.69343657223,188.82942054626406,199.6852286966,0.22841666666666666,0.14033333333333334,0.034,0,197.543862895315,0.96375,15,800,True,2,1-2,282,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/free/rep4
w23a_gateA,s101,True,4,free,dminus,15,0,12000,63.15545614077695,55.87527447321789,49.2907901567,170.37420475930998,187.386849240267,198.7507785353,0.20441666666666666,0.12341666666666666,0.02525,14,196.35528107597798,0.9125,15,800,True,1,11-12,290,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/free/rep4
w4a_c1_carved,s7,False,0,bound,dplus,12,0,4800,53.89162164787802,54.67984261332802,36.76020255735,172.39167699427503,188.19556854217805,198.1313929141,0.155625,0.09854166666666667,0.028125,0,196.118218903952,0.935,12,400,True,0,0-1,46,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep0
w4a_c1_carved,s7,False,0,bound,dminus,12,0,4800,59.80854973662018,57.4219454554436,42.1331635397,177.489167756195,189.94675387153202,198.7616852253,0.189375,0.129375,0.041041666666666664,11,196.064759425151,0.9575,12,400,True,0,9-10,40,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep0
w4a_c1_carved,s23,False,1,bound,dplus,12,0,4800,60.57644742726211,59.92262636266011,42.2704051147,166.70998982261,187.65507492297405,199.4208735191,0.2525,0.11041666666666666,0.024166666666666666,0,194.06752187744,0.9075,12,400,True,0,2-3,14,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep1
w4a_c1_carved,s23,False,1,bound,dminus,12,0,4800,61.0322589058128,53.63374907865753,47.17935886715,170.76557887519002,186.244535420677,198.5011394482,0.188125,0.09,0.024166666666666666,11,195.20811510944895,0.915,12,400,True,0,10-11,36,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep1
w4a_c1_carved,s101,False,2,bound,dplus,12,0,4800,52.838787071465525,54.536168820884825,35.43773527125,170.42262093449497,187.37527262230708,197.1340181056,0.15395833333333334,0.088125,0.026875,0,195.69741427706902,0.9075,12,400,True,1,0-1,40,False,/home/san/UPDD_proj/outputs/_trackb/w4a_carved_c1_20260709/twocopy_w4a_bound_FIXAB_carved/wt/bound/rep2
