cohort,seed,replicate_index,leg,direction,state,n,mean,sd,min,p01,p05,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,frac_lt_0
w23a_gateA,s19,1,bound,dplus,6,800,60.07950541531173,21.61039898377886,5.8733792424,12.886253342347999,24.751132943165004,61.2441695671,94.21149813647997,106.62290639001299,128.1587892023,0.00625,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dplus,7,800,58.26445008235392,21.427524929025413,8.3318239872,13.734833405544002,23.536264919155002,58.33268758215,92.14995696029499,102.52418569023298,127.0840230731,0.00625,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dplus,8,800,40.70659626936836,20.180993168783466,-0.2004940697,5.865536866624,12.603806446430001,38.246519478950006,74.80035785507498,93.64821249852099,127.3822236146,0.00375,0.0,0.0,0.00125
w23a_gateA,s19,1,bound,dplus,9,800,29.68168046589147,16.384338498229948,-2.816719945,4.339027769515999,8.73241533969,26.70550665485,58.10826959847999,70.347312212411,127.1752045176,0.00375,0.0,0.0,0.00125
w23a_gateA,s19,1,bound,dplus,10,800,16.50308201402137,11.771990627922833,-4.8660074092,-0.2492965202259999,3.0936888481150002,14.44502587985,34.66775868634999,45.310432040246994,131.4999666159,0.00375,0.0,0.0,0.01375
w23a_gateA,s19,1,bound,dplus,11,800,7.138671387635127,8.492285185717384,-6.8676804493,-4.466366011149001,-1.832058324825,6.21286541735,17.585827333264994,24.943138107951995,127.5097166542,0.0025,0.0,0.0,0.11375
w23a_gateA,s19,1,bound,dplus,12,800,2.072842952778999,6.741976172031271,-11.0619510337,-8.595656911021,-5.584541743875,1.79557727355,10.946906182814999,15.411271921312,125.8449716132,0.00125,0.0,0.0,0.39125
w23a_gateA,s19,1,bound,dplus,13,800,-1.434753052828127,6.225657349257946,-14.2679889161,-11.595055195371,-8.425442347334998,-1.9276839597,6.511050747634998,11.945894142909985,112.7219792688,0.0,0.0,0.0,0.66375
w23a_gateA,s19,1,bound,dplus,14,800,-4.624980398272122,6.250689814784691,-17.7158333831,-15.113877830682998,-11.87167632652,-4.85200316685,2.630475191959999,6.160204798054,124.9523822064,0.00125,0.0,0.0,0.87125
w23a_gateA,s19,1,bound,dminus,0,800,5.312630068330879,9.55135267470808,-12.135609614,-5.44835515501,-2.746150233765,5.03055725685,11.467805647259995,13.488347069944995,125.5774467345,0.005,0.0,0.0,0.15375
w23a_gateA,s19,1,bound,dminus,1,800,8.50937740441725,9.388596003550951,-9.1426696194,-3.483608967925,0.79754160189,8.13669821045,15.215025805134998,20.334453983968995,127.2591585201,0.005,0.0,0.0,0.03625
w23a_gateA,s19,1,bound,dminus,2,800,11.885998514566374,9.264155532090461,-1.684943759,1.940719575289,4.3093154353,11.0477133873,19.650181028194996,27.40548770238499,125.4618882644,0.005,0.0,0.0,0.005
w23a_gateA,s19,1,bound,dminus,3,800,16.36458593769375,9.808336884685742,-1.298193266,4.401475020211,7.249821212475,15.16846169935,26.578791601905,37.97090198523299,126.909216647,0.005,0.0,0.0,0.00125
w23a_gateA,s19,1,bound,dminus,4,800,25.455296400307642,12.421279245846987,1.8410910612,7.400558209066,10.780990921535,23.612553029399997,43.97922610694,58.24608067938497,126.0561176343,0.005,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dminus,5,800,39.59030270215475,16.893338707609406,10.0237698674,12.425600128454,17.87990475249,37.00375967225,70.86361361733995,89.151998778862,125.3500347975,0.00375,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dminus,6,800,52.70916081868152,19.81113256685066,10.7935363886,16.773233504881002,22.14971655414,51.226001396650005,86.50926987478499,99.15160199200699,125.4350867823,0.00375,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dminus,7,800,67.11955728205588,18.56506269049519,18.668121863,25.316913670409,34.208664611459994,68.13273967795,94.74625013073499,104.87609345139299,127.6847184314,0.00375,0.0,0.0,0.0
