cohort,seed,highlight,ddg,abs_ddg,bound_dgb,free_dgb,max_p99_cell,max_pertE_p99,max_frac_gt150_cell,max_frac_gt150,min_adjacent_cell,min_adjacent_crossing,any_gate_failed,total_round_trips,n_cells
w23a_gateA,s7,False,-7.806100819500233,7.806100819500233,-7.921999364677506,-0.1158985451772736,free/dplus:state0,190.064851199946,free/dplus:state0,0.15741666666666668,bound/dminus:state14,254,False,5,4
w23a_gateA,s19,False,-8.73610442784832,8.73610442784832,-9.218698153094897,-0.48259372524657707,free/dminus:state14,190.36658647490802,free/dminus:state14,0.15666666666666668,free/dplus:state0,228,False,7,4
w23a_gateA,s23,False,-8.881168285518337,8.881168285518337,-7.672489561521381,1.2086787239969556,free/dplus:state0,188.88298802956703,free/dplus:state0,0.14025,bound/dplus:state0,284,False,4,4
w23a_gateA,s42,False,-7.6114894751007665,7.6114894751007665,-9.589051502600865,-1.977562027500099,bound/dminus:state14,189.149704141356,free/dplus:state0,0.13083333333333333,free/dplus:state0,242,False,8,4
w23a_gateA,s101,True,-16.005058786137173,16.005058786137173,-13.667062420521436,2.337996365615737,bound/dplus:state0,190.82871340291,bound/dminus:state14,0.14041666666666666,bound/dminus:state14,150,False,4,4
w4a_c1_carved,s7,False,-5.278391041151135,5.278391041151135,-4.009773665615043,1.2686173755360919,bound/dminus:state11,189.94675387153202,bound/dminus:state11,0.129375,free/dminus:state11,26,True,0,4
w4a_c1_carved,s23,False,-3.270928723500109,3.270928723500109,-1.7356268932136985,1.5353018302864108,bound/dplus:state0,187.65507492297405,free/dplus:state0,0.115625,bound/dplus:state0,14,True,1,4
w4a_c1_carved,s101,False,-3.797907619208914,3.797907619208914,-1.821108935741936,1.9767986834669777,free/dplus:state0,189.678432889064,free/dplus:state0,0.13833333333333334,bound/dminus:state11,18,True,1,4
w4a_c1_carved,s127,True,-12.562512733446972,12.562512733446972,-6.667130641101929,5.895382092345043,free/dplus:state0,191.30069934514103,bound/dminus:state11,0.12229166666666667,free/dminus:state11,42,True,0,4
w4a_c1_carved,s163,False,1.8627408964690453,1.8627408964690453,0.4680764384308169,-1.3946644580382284,free/dminus:state11,188.619204995186,bound/dminus:state11,0.12145833333333333,free/dplus:state0,18,False,3,4
w4a_c1_carved,s199,False,-3.2891805438823347,3.2891805438823347,-0.7695184608530745,2.51966208302926,free/dminus:state11,187.97278333163302,free/dplus:state0,0.11520833333333333,bound/dminus:state11,62,False,1,4
w4a_c1_uncarved,s7,False,-0.9116080589773077,0.9116080589773077,1.1828747530311539,2.0944828120084615,bound/dplus:state0,188.49114998373702,bound/dplus:state0,0.12958333333333333,free/dminus:state11,28,True,1,4
w4a_c1_uncarved,s23,False,-2.141471225011365,2.141471225011365,0.16874762857033687,2.310218853581702,bound/dplus:state0,188.330302604903,free/dplus:state0,0.1175,free/dminus:state11,58,False,3,4
w4a_c1_uncarved,s101,False,0.6793370187018617,0.6793370187018617,0.14968699762612658,-0.5296500210757351,bound/dplus:state0,187.67655394946405,bound/dminus:state11,0.10666666666666667,bound/dplus:state0,42,False,1,4
w4a_c1_uncarved,s127,True,3.6553806042825165,3.6553806042825165,-2.00387872815525,-5.659259332437767,bound/dplus:state0,189.50970461247502,bound/dplus:state0,0.12333333333333334,bound/dminus:state11,30,True,2,4
w4a_c1_uncarved,s163,False,1.2139542003732249,1.2139542003732249,-0.8453597270834194,-2.0593139274566443,free/dminus:state11,189.21643199525602,bound/dminus:state11,0.13583333333333333,bound/dplus:state0,10,True,0,4
w4a_c1_uncarved,s199,True,-4.407702810196197,4.407702810196197,-2.8688441368102584,1.5388586733859384,bound/dplus:state0,191.02367935191103,free/dplus:state0,0.13854166666666667,free/dminus:state11,24,True,0,4
