#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-396221.1206502931	68128.40463547147	300.3707425287094	278.8925926277631	--
4.0%	200000	-397050.1268710091	68245.82975870601	300.8884571537062	278.8920121874897	23:18
5.0%	250000	-397330.98289419897	68267.83997609955	300.9854978135762	278.892012187601	23:03
6.0%	300000	-397488.86281468393	68343.17080398928	301.3176232586033	278.892012187601	22:48
7.0%	350000	-400126.5283066891	68043.07725329646	299.99454336069607	278.892012187601	22:34
8.0%	400000	-399234.46203522524	67446.00514348209	297.3621172246708	278.892012187601	22:20
9.0%	450000	-393677.74900719733	68651.77536881063	302.6782272941611	278.892012187601	22:05
10.0%	500000	-398336.01557231345	68631.72728429195	302.58983746519954	278.892012187601	21:50
11.0%	550000	-397238.9657922797	67698.34406150506	298.47465212961976	278.892012187601	21:36
12.0%	600000	-397815.50342947384	68102.29899746753	300.25564560381605	278.892012187601	21:21
13.0%	650000	-398138.7658454201	67307.2432387719	296.7503310456826	278.892012187601	21:06
14.0%	700000	-397496.943641681	68492.76068419867	301.97714880648147	278.892012187601	20:52
15.0%	750000	-398189.4467190823	68428.5792956977	301.6941800297471	278.892012187601	20:37
16.0%	800000	-376176.48213387	69486.46539058317	306.3582850169657	278.892012187601	20:22
17.0%	850000	-398393.046118618	67698.6163219868	298.4758524965372	278.892012187601	20:07
18.0%	900000	-393874.06911614	68631.40796429498	302.5884296179865	278.892012187601	19:53
19.0%	950000	-397997.99275122955	67718.3838473239	298.56300537051436	278.892012187601	19:38
20.0%	1000000	-397865.08191070403	68525.21052455518	302.12021663105435	278.892012187601	19:24
21.0%	1050000	-397446.8620981828	68235.77088046288	300.8441086511534	278.892012187601	19:09
22.0%	1100000	-396462.00737730484	67944.10786225183	299.5581980560504	278.892012187601	18:55
23.0%	1150000	-394251.762858809	68108.07725608564	300.28112131898854	278.892012187601	18:40
24.0%	1200000	-392525.12931916025	68110.21859132004	300.2905622336525	278.892012187601	18:25
25.0%	1250000	-390338.0501899156	68125.45471710831	300.35773665878065	278.892012187601	18:11
26.0%	1300000	-396993.06717780395	67938.73780261305	299.53452204587876	278.892012187601	17:56
27.0%	1350000	-398657.30584965064	68486.40121707566	301.94911060608547	278.892012187601	17:41
28.0%	1400000	-393485.69312426704	68354.83793158917	301.36906235803775	278.892012187601	17:27
29.0%	1450000	-399294.9849188409	68499.49295050869	302.0068306380356	278.892012187601	17:12
30.0%	1500000	-398393.13956673956	68714.39099630053	302.9542928005189	278.892012187601	16:58
31.0%	1550000	-390730.0751059388	67910.73427828266	299.41105754613676	278.892012187601	16:43
32.0%	1600000	-385524.84995255177	68589.01496925818	302.4015235034906	278.892012187601	16:29
33.0%	1650000	-382608.3019597274	68476.5710821734	301.9057706080986	278.892012187601	16:14
34.0%	1700000	-392818.39770721155	67908.14321490769	299.3996338289069	278.892012187601	15:59
35.0%	1750000	-393241.31974022253	68680.95592291254	302.8068811904308	278.892012187601	15:45
36.0%	1800000	-394522.15944299893	69236.43160942127	305.2559132102764	278.892012187601	15:30
37.0%	1850000	-397855.8441614744	67704.0273445636	298.4997091078571	278.892012187601	15:16
38.0%	1900000	-389685.05145939277	69084.1499295453	304.58451980979083	278.892012187601	15:01
39.0%	1950000	-397586.21526353154	68360.20741203627	301.39273581461606	278.892012187601	14:47
40.0%	2000000	-398305.13875644724	68503.41346623651	302.0241157664128	278.892012187601	14:32
41.0%	2050000	-387943.7525796052	68539.57077079138	302.1835293982906	278.892012187601	14:17
42.0%	2100000	-391702.32457162556	68317.43985682241	301.204178304948	278.892012187601	14:03
43.0%	2150000	-398234.7990275235	68610.04267636524	302.49423238213257	278.892012187601	13:48
44.0%	2200000	-399145.5933525099	68142.9297896185	300.4347823570282	278.892012187601	13:34
45.0%	2250000	-393677.3065211575	68177.05717887335	300.585246312641	278.892012187601	13:19
46.0%	2300000	-398979.1578902537	68286.9166695733	301.06960488483907	278.892012187601	13:05
47.0%	2350000	-398218.06048643216	68655.5627225541	302.69492532580045	278.892012187601	12:50
48.0%	2400000	-397488.4697565171	67660.0038204194	298.3056141674768	278.892012187601	12:36
49.0%	2450000	-400030.7068366285	67604.45345402068	298.06069863052556	278.892012187601	12:21
50.0%	2500000	-392961.6975995286	68538.90082915153	302.1805756983048	278.892012187601	12:07
51.0%	2550000	-398542.44213341945	67470.9258892662	297.4719900883551	278.892012187601	11:52
52.0%	2600000	-399970.51062256284	68285.19580499423	301.0620177796636	278.892012187601	11:37
53.0%	2650000	-398990.1549069225	67238.62555157597	296.4478031094432	278.892012187601	11:23
54.0%	2700000	-398659.65160576394	67993.11346783169	299.7742584528093	278.892012187601	11:08
55.0%	2750000	-392731.1614730223	68184.63941398905	300.6186755644181	278.892012187601	10:54
56.0%	2800000	-397699.85631369404	68033.39795607702	299.9518683896834	278.892012187601	10:39
57.0%	2850000	-397603.3916902961	67834.42685806977	299.0746264115398	278.892012187601	10:25
58.0%	2900000	-398186.280389871	68054.54662404617	300.04511057163927	278.892012187601	10:10
