#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-429359.2441871022	71535.85728983262	303.27056842610267	289.126419886665	--
4.0%	200000	-429545.4614673301	70628.98411328181	299.425951835731	289.11042738536435	23:45
5.0%	250000	-429374.68215379375	70902.52549368727	300.585608727624	289.1104273854454	23:29
6.0%	300000	-429461.65253513306	70833.35108459837	300.2923493307325	289.1104273854454	23:14
7.0%	350000	-429407.6335122783	70608.67022089266	299.3398327071541	289.1104273854454	22:59
8.0%	400000	-430324.6873173523	71187.44448684946	301.7935001024572	289.1104273854454	22:43
9.0%	450000	-431063.5732061458	70921.19471201101	300.6647553915155	289.1104273854454	22:29
10.0%	500000	-429830.0860888413	71216.42825307592	301.9163744705243	289.1104273854454	22:13
11.0%	550000	-430087.0660648497	70648.52773772155	299.50880547469603	289.1104273854454	22:00
12.0%	600000	-429711.1672230228	70206.03356843097	297.6328866931221	289.1104273854454	21:45
13.0%	650000	-429824.39409642527	71214.06410952988	301.90635187228884	289.1104273854454	21:30
14.0%	700000	-428397.1104395655	70685.98002710388	299.667581472079	289.1104273854454	21:15
15.0%	750000	-429396.7309158887	70082.14372748825	297.1076655815236	289.1104273854454	21:00
16.0%	800000	-428716.7894143949	71173.32293020545	301.73363288798964	289.1104273854454	20:45
17.0%	850000	-429487.34821078903	71905.9639096541	304.8396059581024	289.1104273854454	20:30
18.0%	900000	-428440.7408683945	71237.9396427771	302.0075702935628	289.1104273854454	20:15
19.0%	950000	-429829.16959218355	70666.05315328308	299.58310307789264	289.1104273854454	20:00
20.0%	1000000	-430030.5018830667	71259.59975410307	302.09939661008247	289.1104273854454	19:45
21.0%	1050000	-430668.02394522703	71601.79218140255	303.5500941465328	289.1104273854454	19:30
22.0%	1100000	-429284.7519882652	70252.06794259696	297.8280457552956	289.1104273854454	19:16
23.0%	1150000	-429764.6761923947	69977.98493102752	296.66609266122936	289.1104273854454	19:01
24.0%	1200000	-429718.9917476163	70491.16037145736	298.84165906132046	289.1104273854454	18:46
25.0%	1250000	-430015.05627466575	70759.33212713976	299.9785518569449	289.1104273854454	18:31
26.0%	1300000	-429939.37289690366	70070.10375511849	297.0566230777675	289.1104273854454	18:16
27.0%	1350000	-430187.7372763094	71816.3408399079	304.4596560932968	289.1104273854454	18:01
28.0%	1400000	-428779.72399426927	70748.24098123044	299.93153182738416	289.1104273854454	17:46
29.0%	1450000	-430043.59168309416	70881.38489466373	300.49598484212606	289.1104273854454	17:32
