#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
30.0%	1500000	-429483.1914492254	70954.09414840188	300.80422993132197	289.1104273854454	17:17
31.0%	1550000	-430199.7694744887	70236.34131412637	297.76137396667946	289.1104273854454	17:02
32.0%	1600000	-429017.3353689783	70582.54149134412	299.2290620396505	289.1104273854454	16:47
33.0%	1650000	-429067.28000052343	71300.89318723654	302.2744568304124	289.1104273854454	16:33
34.0%	1700000	-429908.73915231857	70758.57526045336	299.97534318092	289.1104273854454	16:18
35.0%	1750000	-428005.0858007795	71342.01519735274	302.4487903165163	289.1104273854454	16:03
36.0%	1800000	-429530.96121595823	70570.66007734303	299.17869173146755	289.1104273854454	15:48
37.0%	1850000	-429073.6576684241	70741.18153397847	299.90160386311584	289.1104273854454	15:33
38.0%	1900000	-430031.73325783364	69906.4759468888	296.3629360193866	289.1104273854454	15:18
39.0%	1950000	-429107.6246826269	70567.9867733905	299.1673584723165	289.1104273854454	15:04
40.0%	2000000	-429145.47199561447	70167.32178110642	297.46877115454487	289.1104273854454	14:49
41.0%	2050000	-429518.06401859573	70916.25233684445	300.643802585707	289.1104273854454	14:34
42.0%	2100000	-430620.37239229516	70249.69808801747	297.81799894558867	289.1104273854454	14:19
43.0%	2150000	-429874.1728989922	71203.62497821405	301.8620960066577	289.1104273854454	14:04
44.0%	2200000	-429109.3794189703	71215.9777844931	301.9144647448518	289.1104273854454	13:49
45.0%	2250000	-429577.8818562839	71515.3570503543	303.1836592938856	289.1104273854454	13:35
46.0%	2300000	-428850.045966225	70976.5607068257	300.8994751160712	289.1104273854454	13:20
47.0%	2350000	-428753.5924834227	70296.61745778164	298.01690987610186	289.1104273854454	13:05
48.0%	2400000	-429121.30753245624	71742.70040880537	304.14746335184236	289.1104273854454	12:50
49.0%	2450000	-429170.16947984975	71026.63035815238	301.11174141431684	289.1104273854454	12:35
50.0%	2500000	-429158.1745777556	71260.80173333759	302.1044923052974	289.1104273854454	12:21
51.0%	2550000	-430486.3454132294	71025.57698332495	301.10727571564786	289.1104273854454	12:06
52.0%	2600000	-429789.5594993043	70292.44804520595	297.99923398362307	289.1104273854454	11:51
53.0%	2650000	-431003.2400868526	70582.37054029174	299.2283373062819	289.1104273854454	11:36
54.0%	2700000	-429411.8246232872	70736.05371493752	299.8798648827743	289.1104273854454	11:21
55.0%	2750000	-429066.4616356427	70256.31855382705	297.8460658830014	289.1104273854454	11:06
56.0%	2800000	-429079.2655494518	71019.00656017248	301.0794209300936	289.1104273854454	10:52
57.0%	2850000	-428794.17025101813	70934.33966354739	300.72048236642576	289.1104273854454	10:37
58.0%	2900000	-429789.8362180446	70871.31198271194	300.4532815343157	289.1104273854454	10:22
59.0%	2950000	-429760.490171639	71202.05464202118	301.85543869146113	289.1104273854454	10:07
60.0%	3000000	-430528.4338599087	69890.01883246993	296.29316739378334	289.1104273854454	9:52
61.0%	3050000	-429859.4923399491	70194.82018971267	297.5853484673048	289.1104273854454	9:38
62.0%	3100000	-429133.9214455327	71195.13337556626	301.8260965336744	289.1104273854454	9:23
63.0%	3150000	-430379.9791982223	69959.00698933846	296.58563718922346	289.1104273854454	9:08
64.0%	3200000	-429908.58263648255	71220.92273182065	301.93542845513196	289.1104273854454	8:53
65.0%	3250000	-429147.86395408073	70618.14895670833	299.3800170525675	289.1104273854454	8:38
66.0%	3300000	-430033.98527515866	70128.44003734698	297.30393509920066	289.1104273854454	8:23
67.0%	3350000	-429119.2032684868	71074.52230936893	301.3147755264214	289.1104273854454	8:09
68.0%	3400000	-429596.0025605161	70325.05353117237	298.1374623440211	289.1104273854454	7:54
69.0%	3450000	-429185.37132491707	71248.13267817357	302.0507828551479	289.1104273854454	7:39
70.0%	3500000	-429633.09747796087	70232.61434849688	297.7455737927837	289.1104273854454	7:24
71.0%	3550000	-430272.65377915977	70798.21357328931	300.1433866505957	289.1104273854454	7:09
72.0%	3600000	-430344.3704251589	70239.03666595486	297.7728006960443	289.1104273854454	6:54
73.0%	3650000	-428605.80035939	70738.37347530133	299.88969932204435	289.1104273854454	6:40
74.0%	3700000	-429656.25165947806	70494.35567109138	298.85520527958096	289.1104273854454	6:25
75.0%	3750000	-429940.9382272144	71186.715891244	301.79041127942793	289.1104273854454	6:10
76.0%	3800000	-428874.7085163689	70813.23510015252	300.2070692171158	289.1104273854454	5:55
77.0%	3850000	-429846.7409640441	71215.42710159514	301.91213016857336	289.1104273854454	5:40
78.0%	3900000	-431194.8521086413	69843.59770152596	296.09636870705873	289.1104273854454	5:25
79.0%	3950000	-429733.4983546238	71393.8472999834	302.6685283866681	289.1104273854454	5:11
80.0%	4000000	-429019.20747315325	70632.78633316471	299.4420710440393	289.1104273854454	4:56
81.0%	4050000	-429112.5111142632	71315.42276023491	302.3360537977117	289.1104273854454	4:41
82.0%	4100000	-430191.1074442894	70991.98485437731	300.964864560927	289.1104273854454	4:26
83.0%	4150000	-430077.81644516205	70470.62491151532	298.75460061475314	289.1104273854454	4:11
84.0%	4200000	-429092.1213419365	70960.35237693049	300.8307611926378	289.1104273854454	3:57
85.0%	4250000	-429050.34446311253	70853.76825339267	300.3789062914021	289.1104273854454	3:42
86.0%	4300000	-430027.45732578845	70979.28710730858	300.911033473733	289.1104273854454	3:27
87.0%	4350000	-428987.7219789685	70770.50091429237	300.0259010403716	289.1104273854454	3:12
88.0%	4400000	-429365.0074308086	71040.55204887876	301.170761313148	289.1104273854454	2:57
89.0%	4450000	-429664.4883450605	70466.08065981617	298.73533562167023	289.1104273854454	2:42
90.0%	4500000	-428835.86207197234	70679.55755921996	299.64035393109964	289.1104273854454	2:28
91.0%	4550000	-429587.58615532867	71101.73052382252	301.4301225841881	289.1104273854454	2:13
92.0%	4600000	-429802.0318955884	70303.04418564193	298.0441554769117	289.1104273854454	1:58
93.0%	4650000	-429573.90139823174	70760.29029692478	299.98261394142054	289.1104273854454	1:43
94.0%	4700000	-430186.94465556554	70567.07844102859	299.16350766962603	289.1104273854454	1:28
95.0%	4750000	-430391.8659204694	71296.06061075283	302.2539695073733	289.1104273854454	1:14
96.0%	4800000	-429322.3071933328	70806.24360466035	300.17742932892	289.1104273854454	0:59
97.0%	4850000	-430433.5486952034	70287.31909849755	297.97749022262525	289.1104273854454	0:44
98.0%	4900000	-429837.42257736134	71230.59323777488	301.97642579477133	289.1104273854454	0:29
99.0%	4950000	-428368.7193900249	70685.22213992605	299.66436846976194	289.1104273854454	0:14
100.0%	5000000	-429277.4800860146	70020.15112189054	296.84485286842977	289.1104273854454	0:00
101.0%	5050000	-429689.6302614019	70885.34523198246	300.5127743767079	289.1104273854454	23:59:46
102.0%	5100000	-430213.78983826796	70792.63553439552	300.11973899905263	289.1104273854454	23:59:31
