#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
61.0%	3050000	-579788.3757253415	94975.07716657298	299.9744272164385	388.83157476660506	11:38
62.0%	3100000	-580223.6134224709	96130.95681126179	303.62522008432467	388.83157476660506	11:21
63.0%	3150000	-579347.0654114347	95433.14710075328	301.421220103901	388.83157476660506	11:03
64.0%	3200000	-580533.0102401206	94821.70435551378	299.4900062238936	388.83157476660506	10:45
65.0%	3250000	-580547.3232173366	95588.97459150977	301.9133940897381	388.83157476660506	10:27
66.0%	3300000	-579045.5582151907	95013.65905527135	300.0962863431536	388.83157476660506	10:09
67.0%	3350000	-579762.7622229811	94223.53503426834	297.6007158450677	388.83157476660506	9:51
68.0%	3400000	-579620.4605176605	94321.86099719848	297.91127389135124	388.83157476660506	9:33
69.0%	3450000	-580113.420962923	93994.32589388994	296.87676928299027	388.83157476660506	9:15
70.0%	3500000	-578421.2353268042	95480.4604550402	301.57065716439445	388.83157476660506	8:58
71.0%	3550000	-581479.1132967654	94603.65863277744	298.8013188046656	388.83157476660506	8:40
72.0%	3600000	-580473.879042072	94673.33825972978	299.02139871201877	388.83157476660506	8:22
73.0%	3650000	-578866.8920831743	95368.73025561329	301.21776245163653	388.83157476660506	8:04
74.0%	3700000	-580324.6837485994	95343.07143096103	301.1367202302692	388.83157476660506	7:46
75.0%	3750000	-580527.9296689611	95013.2440607457	300.0949756019692	388.83157476660506	7:28
76.0%	3800000	-579746.2234824325	94950.5133376679	299.89684348893996	388.83157476660506	7:10
77.0%	3850000	-580935.3722292432	94797.62098521121	299.41394000286505	388.83157476660506	6:52
78.0%	3900000	-579704.672111444	95217.86557984725	300.7412632894327	388.83157476660506	6:34
79.0%	3950000	-579750.472453753	95093.84158372627	300.3495391834103	388.83157476660506	6:17
80.0%	4000000	-580375.9650781401	94290.70732340086	297.81287644086285	388.83157476660506	5:59
81.0%	4050000	-579930.9955426762	95162.94045745263	300.56778480832315	388.83157476660506	5:41
82.0%	4100000	-579337.3723389625	96213.73202898017	303.8866618147614	388.83157476660506	5:23
83.0%	4150000	-580411.492925399	94797.1866501328	299.41256817543143	388.83157476660506	5:06
84.0%	4200000	-580663.8974195663	95122.4387715016	300.4398620899962	388.83157476660506	4:48
85.0%	4250000	-578974.7135904827	95607.72295772015	301.9726099449181	388.83157476660506	4:30
86.0%	4300000	-580047.3877851728	94262.76845103435	297.72463279331606	388.83157476660506	4:12
87.0%	4350000	-579435.8383578926	95270.97379364322	300.9090031480273	388.83157476660506	3:54
88.0%	4400000	-579109.2998948072	95319.00933078704	301.06072118996667	388.83157476660506	3:36
89.0%	4450000	-579980.096432254	95840.8162340643	302.70882437238	388.83157476660506	3:18
90.0%	4500000	-580051.091646085	94373.41949154127	298.07411903209794	388.83157476660506	3:00
91.0%	4550000	-579230.4999776199	95196.02817283839	300.67229084050393	388.83157476660506	2:42
92.0%	4600000	-577988.4733736264	94786.73029123717	299.3795422452183	388.83157476660506	2:24
93.0%	4650000	-580767.1264859762	95289.24780721034	300.96672078212964	388.83157476660506	2:06
94.0%	4700000	-580308.8793835454	94919.62121668993	299.79927214104185	388.83157476660506	1:48
95.0%	4750000	-580275.5124288527	94758.83997145697	299.2914519487896	388.83157476660506	1:30
96.0%	4800000	-581004.6069790206	95439.10743231322	301.44004553788915	388.83157476660506	1:12
97.0%	4850000	-577525.7549113932	95091.03506137861	300.3406749112367	388.83157476660506	0:54
98.0%	4900000	-579523.4373238245	95287.88166883084	300.96240589668696	388.83157476660506	0:36
99.0%	4950000	-579804.7893286417	94710.96691083473	299.1402470814951	388.83157476660506	0:18
100.0%	5000000	-581169.5165238758	95234.7173624474	300.7944888722263	388.83157476660506	0:00
101.0%	5050000	-578138.2620040942	95562.04165513953	301.8283276449196	388.83157476660506	23:59:42
102.0%	5100000	-579896.9846961196	95102.97243003141	300.3783785428728	388.83157476660506	23:59:24
