#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-577684.6119894157	94335.08616084931	297.95304496445124	388.84245878108726	--
4.0%	200000	-580101.9445132506	94491.46248201269	298.446952405968	388.83157476658744	28:20
5.0%	250000	-580472.1450777019	95034.16468365172	300.16105243033803	388.83157476660506	28:03
6.0%	300000	-578521.8793183821	94861.59523153174	299.6159997270488	388.83157476660506	27:46
7.0%	350000	-579655.4940745384	95794.96289218716	302.5639986941504	388.83157476660506	27:29
8.0%	400000	-580128.8861856065	94660.72683906612	298.98156611800755	388.83157476660506	27:10
9.0%	450000	-581616.6244354907	95098.53626871883	300.3643671307373	388.83157476660506	26:52
10.0%	500000	-580082.2783069324	95797.32106559192	302.57144687674185	388.83157476660506	26:34
11.0%	550000	-579051.1443715463	95929.38396525902	302.98856149108116	388.83157476660506	26:17
12.0%	600000	-579944.3879637478	94925.4934619336	299.8178193584382	388.83157476660506	25:58
13.0%	650000	-580608.4419998939	95599.21734225396	301.94574534839745	388.83157476660506	25:40
14.0%	700000	-579663.3006934586	94344.77853948109	297.98365789802466	388.83157476660506	25:23
15.0%	750000	-579415.6135075125	95623.56265074773	302.0226388891947	388.83157476660506	25:05
16.0%	800000	-578183.0578378057	95323.26509453703	301.0741628246708	388.83157476660506	24:47
17.0%	850000	-580324.8721972776	95304.799554624	301.0158402633852	388.83157476660506	24:29
18.0%	900000	-579866.8407032164	94937.29081380983	299.85508075350435	388.83157476660506	24:12
19.0%	950000	-579433.2477384042	94779.89701641901	299.3579596599682	388.83157476660506	23:54
20.0%	1000000	-580292.7025823763	95152.33662876658	300.5342931015376	388.83157476660506	23:37
21.0%	1050000	-577681.6789962063	95722.03361791951	302.33365492472785	388.83157476660506	23:20
22.0%	1100000	-580245.21327161	94780.58040572611	299.3601181137655	388.83157476660506	23:02
23.0%	1150000	-578585.2778376618	94479.74314130191	298.40993740559156	388.83157476660506	22:44
24.0%	1200000	-579548.4643129539	94885.93186788604	299.69286587729107	388.83157476660506	22:27
25.0%	1250000	-579527.3463585842	95523.95827008486	301.7080430191098	388.83157476660506	22:11
26.0%	1300000	-580176.4444026074	94035.02850206173	297.0053266049405	388.83157476660506	21:53
27.0%	1350000	-578831.3417037383	95186.99378340223	300.64375613564016	388.83157476660506	21:37
28.0%	1400000	-580137.5731268364	95126.1146892224	300.4514723075995	388.83157476660506	21:23
29.0%	1450000	-579338.7623086451	94505.52271055775	298.4913609932539	388.83157476660506	21:08
30.0%	1500000	-580205.9661209597	95945.81128747476	303.0404464352094	388.83157476660506	20:50
31.0%	1550000	-579309.5818275199	95357.54822611307	301.1824445240863	388.83157476660506	20:33
32.0%	1600000	-580696.3681305845	94532.3960705143	298.57623926870093	388.83157476660506	20:15
33.0%	1650000	-579845.5297128293	95049.40820866308	300.209198405266	388.83157476660506	19:57
34.0%	1700000	-580524.5568361806	94692.75486071224	299.082725156092	388.83157476660506	19:39
35.0%	1750000	-580700.3780147864	94966.87667602883	299.94852634299605	388.83157476660506	19:21
36.0%	1800000	-580667.1758003465	95151.48278925747	300.5315962885913	388.83157476660506	19:03
37.0%	1850000	-579269.3559548284	95210.3351209515	300.717478680235	388.83157476660506	18:45
38.0%	1900000	-578121.4590212533	95062.48263018939	300.25049336627626	388.83157476660506	18:28
39.0%	1950000	-578950.6302441044	93834.06565698927	296.3705946716706	388.83157476660506	18:10
40.0%	2000000	-579521.8557949252	95215.3366361341	300.73327573665097	388.83157476660506	17:52
41.0%	2050000	-579942.1435833906	95412.55480823413	301.3561802920073	388.83157476660506	17:34
42.0%	2100000	-579736.5254850313	95205.92353675596	300.70354489379696	388.83157476660506	17:17
43.0%	2150000	-578794.9188859577	95601.21118459245	301.95204280801835	388.83157476660506	16:59
44.0%	2200000	-578329.2604165846	93723.08882624262	296.02007943935195	388.83157476660506	16:41
45.0%	2250000	-579849.0969561771	95259.92620713703	300.8741098525104	388.83157476660506	16:23
46.0%	2300000	-578721.3769494509	94881.91435040136	299.68017673249375	388.83157476660506	16:06
47.0%	2350000	-579696.490274312	94557.47922099776	298.6554632495971	388.83157476660506	15:48
48.0%	2400000	-580014.5824940137	95030.31008208715	300.1488778480057	388.83157476660506	15:30
49.0%	2450000	-579029.1147811615	94798.92996733765	299.41807436290276	388.83157476660506	15:12
50.0%	2500000	-580193.4761015524	95244.89784376275	300.8266434557493	388.83157476660506	14:55
51.0%	2550000	-580200.3277914391	94537.88218846914	298.59356692075704	388.83157476660506	14:37
52.0%	2600000	-578927.0712712479	93584.86708229773	295.5835123977058	388.83157476660506	14:19
53.0%	2650000	-578879.5193931819	95197.00436249336	300.675374090777	388.83157476660506	14:01
54.0%	2700000	-579089.9272071281	95448.12330455316	301.46852175703754	388.83157476660506	13:43
55.0%	2750000	-579022.6577955924	94429.21833792799	298.25035713038176	388.83157476660506	13:26
56.0%	2800000	-579660.4420709736	94986.00591732374	300.0089451746698	388.83157476660506	13:08
57.0%	2850000	-579489.4546303907	94113.39728091784	297.2528508002384	388.83157476660506	12:50
58.0%	2900000	-579988.4482656103	95252.4526565503	300.8505049855978	388.83157476660506	12:32
59.0%	2950000	-579645.4729249843	95371.28767853622	301.22583995469665	388.83157476660506	12:14
60.0%	3000000	-580352.0925012622	95272.28243467551	300.91313643073477	388.83157476660506	11:56
