#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-515628.0943851841	85527.78367297379	298.8474467311633	353.65556189270615	--
4.0%	200000	-516611.6143071621	86005.00255166285	300.51492409703826	353.6738028366544	26:49
5.0%	250000	-515694.26113312086	86081.93104598396	300.78372428244523	353.6738028366689	26:32
6.0%	300000	-516038.35467177024	85977.28974489222	300.4180912178323	353.6738028366689	26:15
7.0%	350000	-516586.20798317576	86005.04099732728	300.5150584322	353.6738028366689	25:58
8.0%	400000	-516378.06933562877	85799.20972522929	299.79585178984024	353.6738028366689	25:41
9.0%	450000	-518881.9729874879	85731.1130500267	299.5579113611138	353.6738028366689	25:25
10.0%	500000	-517607.07963964157	86105.61760860914	300.86648883518325	353.6738028366689	25:08
11.0%	550000	-517461.3942290142	85648.71122373495	299.26998649815425	353.6738028366689	24:53
12.0%	600000	-517189.5701284236	86268.85314757488	301.4368593269783	353.6738028366689	24:36
13.0%	650000	-518642.4490207345	85816.05542209902	299.85471328819466	353.6738028366689	24:19
14.0%	700000	-517179.4937164921	86704.36173025603	302.95859439802166	353.6738028366689	24:02
15.0%	750000	-517432.7646284753	85334.10720550518	298.17071087634196	353.6738028366689	23:46
16.0%	800000	-517032.65444392455	85214.3825901731	297.75237435379546	353.6738028366689	23:29
17.0%	850000	-517362.65088532143	85886.14381247737	300.0996130811106	353.6738028366689	23:12
18.0%	900000	-516953.9410489269	85898.27932151823	300.14201644684624	353.6738028366689	22:55
19.0%	950000	-516434.29764216626	86188.0973605091	301.15468598240005	353.6738028366689	22:39
20.0%	1000000	-517004.0326000098	85341.09782050079	298.195137177981	353.6738028366689	22:22
21.0%	1050000	-516416.5491624288	86095.00821485813	300.8294179548483	353.6738028366689	22:05
22.0%	1100000	-516256.98808256234	85896.9824972357	300.1374851400703	353.6738028366689	21:48
23.0%	1150000	-517117.23383913375	85948.2754178574	300.31671062335636	353.6738028366689	21:31
