#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-499200.60634142277	80698.02103272075	299.356641690604	315.1149912907095	--
4.0%	200000	-501316.8756360675	81151.42135074399	301.0385713687786	312.84018082780204	24:16
5.0%	250000	-499962.8339722995	81373.6478067199	301.8629405999495	313.4402796967435	24:01
6.0%	300000	-501603.7890999813	80796.2097353453	299.72088160495986	315.14659522645485	23:47
7.0%	350000	-501737.955094635	81048.3300778288	300.6561449244549	314.22286455616126	23:33
8.0%	400000	-500595.78423189395	81435.18124787272	302.0912044911756	314.51842242636036	23:17
9.0%	450000	-499934.7157526396	80979.76598572476	300.40180019468136	315.5678234698897	23:02
10.0%	500000	-500787.8130637724	80820.80740401216	299.8121288919602	314.2659809643141	22:47
11.0%	550000	-500672.86112740915	80489.7271496057	298.5839566044514	313.44324294981215	22:33
12.0%	600000	-500816.85688738665	80500.72539860025	298.6247556084586	313.3589021465596	22:18
13.0%	650000	-500533.9143518561	80787.13823460088	299.68723004866155	314.6065210357016	22:02
14.0%	700000	-500274.70076354453	80446.93795651068	298.42522620460204	314.956178437607	21:47
15.0%	750000	-501383.2195602516	80818.19807939434	299.8024493651926	314.8695870744826	21:32
16.0%	800000	-501449.13385830657	80652.73817594293	299.1886608187352	313.11515495925573	21:17
17.0%	850000	-500545.8334330076	81080.15157230623	300.77418964969644	314.5296608165787	21:01
18.0%	900000	-501583.41283684876	80825.84902214442	299.8308312325312	314.0611434580345	20:46
19.0%	950000	-501132.29831270664	81070.85280852967	300.7396950405301	313.820224942161	20:31
20.0%	1000000	-501056.0279231479	81000.94285789333	300.4803577262387	314.2262628312798	20:16
21.0%	1050000	-501756.3395135314	80479.4036531748	298.5456606563908	313.4574429771729	20:00
22.0%	1100000	-500968.80642724154	80849.07539700741	299.9169915805627	314.2247304085129	19:45
23.0%	1150000	-500497.6447445112	80621.15288426964	299.0714923092584	314.18358655987186	19:30
24.0%	1200000	-502256.12552937446	81483.69206547496	302.271159777033	313.94178481097356	19:15
25.0%	1250000	-501664.19317656197	81768.34735227888	303.3271144287902	314.2545661288243	19:00
26.0%	1300000	-502203.8283219994	80536.24828801796	298.7565309945603	313.94660969924183	18:45
27.0%	1350000	-501394.088185529	80508.36298585513	298.65308793237404	314.23680377447243	18:29
28.0%	1400000	-501443.0622535418	81292.85180577927	301.56322049288747	314.72038453441166	18:14
29.0%	1450000	-501524.15431046137	81504.42368268476	302.3480655948625	314.61255066833735	17:59
30.0%	1500000	-501437.9135811201	80972.74513083464	300.3757556955126	314.5921784301796	17:44
31.0%	1550000	-500732.9547265135	80834.70507491264	299.86368356498497	315.3805987054956	17:28
32.0%	1600000	-501345.33360727644	80168.33828640635	297.39173541323896	313.1692366957486	17:13
33.0%	1650000	-501246.62386249634	81151.88294870591	301.0402837083617	314.98826749935034	16:58
34.0%	1700000	-502035.6178677175	81084.34586605256	300.78974876346524	313.7030164874791	16:43
35.0%	1750000	-500780.11779834284	81193.92185778308	301.19623086147186	314.0840773464295	16:28
36.0%	1800000	-501644.05729739415	81275.61139630988	301.49926562740154	313.2895581998371	16:12
37.0%	1850000	-501053.5378635803	79746.79640440515	295.8279874983223	313.446834761244	15:57
38.0%	1900000	-502051.4472002352	80882.31202099311	300.04028585730157	314.72336026214197	15:42
39.0%	1950000	-500809.305939615	80718.86554560594	299.4339663051997	314.1863011368556	15:27
40.0%	2000000	-502819.30687101046	81607.00716635965	302.7286083488587	313.4492257880194	15:11
41.0%	2050000	-501591.34272323456	80575.18556966928	298.90097237890325	314.8272844151191	14:56
42.0%	2100000	-501097.5532037448	80158.47537081539	297.355148031655	314.88613406177996	14:41
43.0%	2150000	-500822.12861751183	80851.71652141103	299.9267890715251	314.4160192061954	14:26
44.0%	2200000	-502354.0207219133	80740.46525047025	299.5140923730628	312.6170991785681	14:11
45.0%	2250000	-501378.7464863106	80447.3236125839	298.4266568308485	314.4558097266322	13:55
46.0%	2300000	-501947.9910741758	80717.09209012317	299.4273875109404	314.7466588727159	13:40
47.0%	2350000	-501323.677003416	80543.35835454665	298.7829064324086	314.18829790063927	13:25
48.0%	2400000	-501964.87962890975	81231.39568638755	301.33524343376007	314.44074204697756	13:10
49.0%	2450000	-500695.1970463677	81014.17830914172	300.5294558352911	312.8168258625742	12:55
50.0%	2500000	-499420.0666152679	80712.94893054807	299.41201808402604	313.6755241132572	12:40
51.0%	2550000	-502668.4432886492	80481.07732095961	298.5518692791173	313.6396354796657	12:24
52.0%	2600000	-500756.24775796174	80652.0227614778	299.18600692377026	314.94900024673944	12:09
53.0%	2650000	-501461.2480420065	80704.36832971028	299.3801875655373	313.7814084074251	11:54
54.0%	2700000	-501698.025910639	81195.51931665765	301.2021567803211	314.44829458665777	11:39
55.0%	2750000	-501881.08301063	79851.36516025558	296.2158947998465	313.67562872696783	11:23
56.0%	2800000	-501479.8178718088	80901.7590833519	300.1124265021895	313.25303907754295	11:08
57.0%	2850000	-502050.66546709044	81584.64810495549	302.64566537891164	313.3617186357509	10:53
58.0%	2900000	-499789.1672319113	80603.81498532959	299.00717579772265	313.68441260000964	10:38
59.0%	2950000	-501056.14331060555	80445.64738031068	298.4204386949192	313.1755752701444	10:23
60.0%	3000000	-501160.8970936176	80325.32408827826	297.9740885098833	315.25013537367465	10:07
61.0%	3050000	-501104.21009499836	80972.29408031238	300.3740824826154	312.90844589627574	9:52
62.0%	3100000	-502190.633224373	79986.78479435811	296.71824623752883	312.90552926026277	9:37
63.0%	3150000	-501547.7750966763	81711.51771688325	303.1162997324342	314.7866873255366	9:22
64.0%	3200000	-501605.57126700855	80780.47972465784	299.66252970099873	314.38296485463803	9:07
65.0%	3250000	-502219.29830810847	80894.69210875238	300.086210917768	311.792209623302	8:51
66.0%	3300000	-501784.27726117265	80241.98330211277	297.6649282907964	314.5199039846623	8:36
67.0%	3350000	-501708.54171217256	80718.59561162542	299.43296496057127	313.70166629677516	8:21
68.0%	3400000	-501347.0065472601	80376.21884450264	298.16288723267746	314.9883024805253	8:06
69.0%	3450000	-501209.9046335211	80717.98933581324	299.43071592535637	314.89311584989815	7:51
70.0%	3500000	-500512.3711342658	81236.8347492333	301.3554201316098	313.7447132331629	7:35
71.0%	3550000	-501505.7409082232	80656.39599867997	299.20222984454836	313.16949488339293	7:20
72.0%	3600000	-501299.14313055156	81605.71575544342	302.7238177427202	313.0938336960024	7:05
73.0%	3650000	-501006.5235587228	81766.46738950611	303.3201405360607	313.0105646423354	6:50
74.0%	3700000	-500729.85188656347	81475.08547114313	302.2392328333162	315.5006649482667	6:35
75.0%	3750000	-502520.1665416728	81275.88743213729	301.50028960738547	313.08391114708826	6:19
76.0%	3800000	-502446.9997289099	80629.5810979663	299.10275753380034	314.30880506260775	6:04
77.0%	3850000	-502335.13278308697	81080.79708583631	300.7765842407912	313.2874394471493	5:49
78.0%	3900000	-500663.02437128243	80855.12792298864	299.93944397565616	313.6459290161584	5:34
79.0%	3950000	-501600.5793102351	80989.19132207391	300.43676433630685	313.4147374241702	5:19
80.0%	4000000	-501744.49491846026	81039.71701273673	300.624193976865	315.07073008768924	5:03
81.0%	4050000	-501597.2607563813	81296.99198619847	301.5785788683523	314.7897818542651	4:48
82.0%	4100000	-500445.69936257624	80372.51361145818	298.14914233402106	314.98061073808526	4:33
83.0%	4150000	-501669.7265629296	80585.66026710112	298.93982922081574	312.915527382141	4:18
84.0%	4200000	-500982.41259302036	81231.68651052057	301.33632227230737	314.9397111187863	4:03
85.0%	4250000	-501627.9525808047	81209.48024870867	301.25394612633204	313.97338144663433	3:47
86.0%	4300000	-502070.75577330636	80652.26740695346	299.1869144583921	313.92639409481967	3:32
87.0%	4350000	-500674.13883775263	80861.71790103964	299.96389009803823	314.1853438198465	3:17
88.0%	4400000	-501844.1554306708	80966.6023301561	300.3529684182267	313.8597017549626	3:02
89.0%	4450000	-501610.82636665134	80760.86503291475	299.58976721967804	314.06583899146426	2:47
90.0%	4500000	-501232.40781305335	81693.1120444246	303.04802221800736	314.91879419900016	2:31
91.0%	4550000	-501736.41790370224	80264.0841334755	297.74691333294055	314.06572171088453	2:16
92.0%	4600000	-501054.58754793555	81861.20840949922	303.6715909584196	314.19559054185777	2:01
93.0%	4650000	-501532.8243891862	80371.57768665794	298.1456704359312	314.72061219828004	1:46
94.0%	4700000	-501908.6657347826	81061.77192568629	300.70600868048314	313.1896517176123	1:31
95.0%	4750000	-500980.54311528965	80299.05819769138	297.8766528020869	313.633590174941	1:16
96.0%	4800000	-502142.01151165995	80335.54594079818	298.01200740062023	313.57714166043473	1:00
97.0%	4850000	-500837.13104245206	82216.57426271468	304.9898528814346	313.8828218630068	0:45
98.0%	4900000	-501213.5196207203	80417.96490728708	298.3177480458551	313.19625569728373	0:30
99.0%	4950000	-501606.3600477672	80326.54418028872	297.9786145520605	313.2196863392715	0:15
100.0%	5000000	-502670.89947686275	81164.45630375388	301.0869257113969	313.80999048364146	0:00
101.0%	5050000	-500645.02348250896	81232.44074711422	301.3391201814856	313.2241384163187	23:59:45
102.0%	5100000	-501528.04872171883	81337.68996286912	301.72955171085584	313.555033770683	23:59:30
