#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-533996.443068916	90167.82731389652	298.6326932803198	370.8834869732231	--
4.0%	200000	-535519.2710961397	91164.2248385927	301.9327270644543	370.90384973275803	26:10
5.0%	250000	-534889.7831437392	90903.4125870856	301.06892600116674	370.9038497328168	25:54
6.0%	300000	-534247.227256313	90162.9801637007	298.61663968824786	370.9038497328168	25:39
7.0%	350000	-534704.7407230979	91266.85864240523	302.27264663629273	370.9038497328168	25:23
8.0%	400000	-534634.7818912892	91048.3889035472	301.54908249530155	370.9038497328168	25:07
9.0%	450000	-535210.5399670363	89987.44782857105	298.03528272802004	370.9038497328168	24:51
10.0%	500000	-535204.6307064206	90468.348275858	299.62800820506925	370.9038497328168	24:34
11.0%	550000	-536309.5453328658	90279.804073588	299.00355639555335	370.9038497328168	24:19
12.0%	600000	-536835.965885848	91538.33801951654	303.17177684683423	370.9038497328168	24:02
13.0%	650000	-535465.2877266293	90271.83265166312	298.9771553246879	370.9038497328168	23:46
14.0%	700000	-535667.3839629351	89799.88014835524	297.4140651254245	370.9038497328168	23:29
15.0%	750000	-533267.6566426139	90501.1003471819	299.7364819208206	370.9038497328168	23:13
16.0%	800000	-535543.8094050041	90936.88645787346	301.1797902915206	370.9038497328168	22:56
17.0%	850000	-536497.7242325612	90760.24927055035	300.5947740994355	370.9038497328168	22:40
18.0%	900000	-535105.4977402466	91100.22368108486	301.7207574672155	370.9038497328168	22:24
19.0%	950000	-534901.8359005738	91878.02631027332	304.2968125959085	370.9038497328168	22:07
20.0%	1000000	-534600.1746053456	90187.34163512988	298.6973240303452	370.9038497328168	21:51
21.0%	1050000	-535095.2769216495	90184.7105349563	298.6886099185103	370.9038497328168	21:35
22.0%	1100000	-535179.5671989534	91055.33855802387	301.5720995080827	370.9038497328168	21:18
23.0%	1150000	-535529.4132642967	90903.37703546064	301.0688082554272	370.9038497328168	21:02
24.0%	1200000	-535964.9582284552	90572.92646448707	299.9743675114763	370.9038497328168	20:46
25.0%	1250000	-534696.9988452038	90650.2666578979	300.2305155295126	370.9038497328168	20:29
26.0%	1300000	-535409.2903995479	90275.45194889732	298.9891423106564	370.9038497328168	20:13
27.0%	1350000	-534560.1224723516	90115.64468071029	298.4598662226531	370.9038497328168	19:56
28.0%	1400000	-535154.9530501231	91018.94353024215	301.4515604478409	370.9038497328168	19:40
29.0%	1450000	-535125.3532098567	90478.2498042681	299.660801721169	370.9038497328168	19:24
30.0%	1500000	-536144.353908008	89910.71830368471	297.7811572227979	370.9038497328168	19:07
31.0%	1550000	-534862.305345339	90178.4696958706	298.66794047753547	370.9038497328168	18:51
32.0%	1600000	-535059.3466723156	90754.84238931007	300.5768666977033	370.9038497328168	18:34
33.0%	1650000	-535392.5661930093	91281.00630447424	302.3195031986959	370.9038497328168	18:18
34.0%	1700000	-534605.9250899788	91210.8362148189	302.0871023137489	370.9038497328168	18:02
35.0%	1750000	-535818.8381634639	90557.33979309956	299.9227450004944	370.9038497328168	17:45
36.0%	1800000	-534810.9521393834	90617.67494736155	300.12257292308607	370.9038497328168	17:29
37.0%	1850000	-539307.6401903466	91612.64366427486	303.4178745457713	370.9038497328168	17:12
38.0%	1900000	-541421.9012501945	90063.13180722066	298.28594542064127	370.9038497328168	16:56
39.0%	1950000	-540315.7941963843	90577.34797240433	299.98901139119516	370.9038497328168	16:40
40.0%	2000000	-539643.8891443636	90825.26550456161	300.81010559458326	370.9038497328168	16:23
41.0%	2050000	-538635.9749123037	90697.90827279034	300.3883028932696	370.9038497328168	16:07
42.0%	2100000	-539591.1682988978	89656.36321090341	296.9387420435742	370.9038497328168	15:50
43.0%	2150000	-538864.9963259241	91551.2088750921	303.2144046707472	370.9038497328168	15:34
44.0%	2200000	-539933.6043324203	90655.16703473096	300.2467454063472	370.9038497328168	15:17
45.0%	2250000	-539608.0932229762	90396.80364807387	299.39105489787096	370.9038497328168	15:01
46.0%	2300000	-538650.4612132516	90523.17322800323	299.8095865307962	370.9038497328168	14:45
47.0%	2350000	-539337.9792452271	90912.5692385693	301.09925251091494	370.9038497328168	14:28
48.0%	2400000	-539791.9574786657	90955.6201783107	301.2418357189861	370.9038497328168	14:12
49.0%	2450000	-540010.067360925	90956.8120714829	301.2457832275235	370.9038497328168	13:56
50.0%	2500000	-539876.5708929303	91301.81158713646	302.3884095678628	370.9038497328168	13:39
51.0%	2550000	-539509.4060635115	89840.34937058142	297.5480977752996	370.9038497328168	13:23
52.0%	2600000	-539265.040335312	91130.59498648284	301.82134616941266	370.9038497328168	13:06
53.0%	2650000	-540152.1806945086	90717.38405981415	300.4528060193395	370.9038497328168	12:50
54.0%	2700000	-537750.0650782168	90440.91313902964	299.5371439905746	370.9038497328168	12:34
55.0%	2750000	-539281.8420705593	91179.80891551153	301.98434098264664	370.9038497328168	12:17
56.0%	2800000	-540913.7025639766	91037.1163474593	301.51174818344145	370.9038497328168	12:01
57.0%	2850000	-539192.2106966595	90499.02908775854	299.7296219819875	370.9038497328168	11:45
58.0%	2900000	-539627.5382697601	90232.64430847451	298.8473649014267	370.9038497328168	11:28
59.0%	2950000	-538737.7527049589	91524.77036407692	303.12684124612014	370.9038497328168	11:12
60.0%	3000000	-538820.578668304	91005.53105966083	301.40713881395476	370.9038497328168	10:55
61.0%	3050000	-540083.7266256833	90403.8152381778	299.41427703928537	370.9038497328168	10:39
62.0%	3100000	-539613.9847039771	90345.40069452964	299.22081011193376	370.9038497328168	10:23
63.0%	3150000	-539547.4026741404	90293.77913691477	299.0498413169534	370.9038497328168	10:06
64.0%	3200000	-539062.5196738525	89806.27785464544	297.43525410509915	370.9038497328168	9:50
65.0%	3250000	-539641.7923589724	90297.09195030721	299.0608132391477	370.9038497328168	9:34
66.0%	3300000	-539874.026221216	90739.61842740251	300.52644546784455	370.9038497328168	9:17
67.0%	3350000	-539167.1649010237	90884.56909669774	301.00651701946055	370.9038497328168	9:01
68.0%	3400000	-539747.0807680478	90427.22261202363	299.4918014435262	370.9038497328168	8:44
69.0%	3450000	-540191.2979119762	90564.0284812486	299.94489770191757	370.9038497328168	8:28
70.0%	3500000	-540622.3143682922	90433.44665516906	299.5124152569337	370.9038497328168	8:12
71.0%	3550000	-538723.1927430502	91439.29108291438	302.84373685385873	370.9038497328168	7:55
