#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-445009.12903870316	73453.55587275248	294.7463434116838	307.0735529995004	--
4.0%	200000	-443296.37222255603	75012.36793519357	301.00137286548556	307.0343069165213	24:05
5.0%	250000	-444574.5535659897	75080.75146045198	301.27577474814507	307.0343069165624	23:50
6.0%	300000	-445516.5608463797	74692.65070622007	299.71844676278056	307.0343069165624	23:36
7.0%	350000	-445110.0569274409	75018.55997583011	301.0262196045466	307.0343069165624	23:21
8.0%	400000	-444844.02419132995	75481.2158449635	302.8827141481363	307.0343069165624	23:06
9.0%	450000	-445283.6131636717	74770.78705809792	300.0319837145303	307.0343069165624	22:50
10.0%	500000	-443794.55603230116	75097.25982967003	301.3420177149408	307.0343069165624	22:35
11.0%	550000	-445187.9859781754	74562.76003572284	299.19723577826846	307.0343069165624	22:21
12.0%	600000	-443937.94643044355	75495.12932189851	302.9385446168183	307.0343069165624	22:06
13.0%	650000	-444791.1245622309	74957.82090249592	300.7824925370854	307.0343069165624	21:51
14.0%	700000	-445397.1021914545	74576.9628701948	299.254227349023	307.0343069165624	21:36
15.0%	750000	-445675.7239407811	74768.93428178554	300.0245490976933	307.0343069165624	21:21
16.0%	800000	-444652.25830248464	75636.47025552498	303.5057019567974	307.0343069165624	21:05
17.0%	850000	-445719.02247695765	74726.62065560966	299.85475763635907	307.0343069165624	20:50
18.0%	900000	-444231.48293089983	74705.24824106121	299.76899676388416	307.0343069165624	20:35
19.0%	950000	-444424.11576917535	74289.61091262002	298.10117304469384	307.0343069165624	20:20
20.0%	1000000	-444697.19467125065	74516.59348362827	299.01198371992876	307.0343069165624	20:05
21.0%	1050000	-444688.8029477387	74471.26966695156	298.83011329750747	307.0343069165624	19:50
22.0%	1100000	-443764.79648439656	74471.55017312408	298.83123888179915	307.0343069165624	19:35
23.0%	1150000	-443823.21451743436	74566.27479498273	299.2113394173301	307.0343069165624	19:20
24.0%	1200000	-445504.1824428716	74183.50052620863	297.67538496648376	307.0343069165624	19:05
25.0%	1250000	-445738.2537258412	75806.83678762367	304.1893300232563	307.0343069165624	18:50
26.0%	1300000	-444719.8662178421	74370.799083179	298.42695599851027	307.0343069165624	18:35
27.0%	1350000	-445019.9632078074	75140.19231915499	301.5142924828387	307.0343069165624	18:21
28.0%	1400000	-444204.0919313303	75391.00862014851	302.5207405261976	307.0343069165624	18:07
29.0%	1450000	-444690.9179790234	74696.60115036057	299.734298670172	307.0343069165624	17:52
30.0%	1500000	-444418.63886923925	74740.55004750587	299.9106519668455	307.0343069165624	17:38
31.0%	1550000	-444357.1762833691	74921.53550056237	300.63689047041805	307.0343069165624	17:23
32.0%	1600000	-445401.34750407864	74778.97836800342	300.064852901239	307.0343069165624	17:08
33.0%	1650000	-444908.675666905	74493.43034625195	298.9190372320087	307.0343069165624	16:53
34.0%	1700000	-445047.75046981755	74893.89835956586	300.5259911932587	307.0343069165624	16:38
35.0%	1750000	-444574.7528237661	75654.13716914506	303.57659380303977	307.0343069165624	16:23
36.0%	1800000	-445404.2783892604	75165.36832006156	301.6153159679617	307.0343069165624	16:09
37.0%	1850000	-445392.80502239475	74598.31300262317	299.3398988102592	307.0343069165624	15:54
38.0%	1900000	-445290.6121566298	74756.08606600361	299.9729931917049	307.0343069165624	15:40
39.0%	1950000	-444666.8688761699	74941.15041679225	300.71559904710153	307.0343069165624	15:26
40.0%	2000000	-444139.070225829	75203.9644448871	301.77019024909106	307.0343069165624	15:11
41.0%	2050000	-445522.18723482476	74892.88609386158	300.52192928486835	307.0343069165624	14:56
