#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
62.0%	3100000	-450843.1446733535	75343.55379109379	302.96712309405416	309.86951335545837	9:32
63.0%	3150000	-451243.42080226797	73796.31021834942	296.74543709209206	309.86951335545837	9:17
64.0%	3200000	-448751.59391397703	74225.55990049087	298.4715109861908	309.86951335545837	9:02
65.0%	3250000	-451526.41352250474	74362.31435684668	299.02142006437543	309.86951335545837	8:47
66.0%	3300000	-451381.0821535012	74463.17203493667	299.4269831024237	309.86951335545837	8:32
67.0%	3350000	-451827.82061909116	74405.11618057909	299.19353227234666	309.86951335545837	8:17
68.0%	3400000	-451066.0241550512	74834.31741574632	300.9194113542862	309.86951335545837	8:02
69.0%	3450000	-451359.9331636927	74753.43013046411	300.59415210006	309.86951335545837	7:47
70.0%	3500000	-451043.3417488199	74526.11636089577	299.6800911706176	309.86951335545837	7:32
71.0%	3550000	-449724.0255699202	75397.25082063783	303.18304647092015	309.86951335545837	7:17
72.0%	3600000	-451236.4502916869	75085.92548380437	301.93116310597765	309.86951335545837	7:02
73.0%	3650000	-449401.80269517004	74731.40022778534	300.50556673474614	309.86951335545837	6:47
74.0%	3700000	-450056.0461630018	74582.71087734807	299.90766575357384	309.86951335545837	6:32
75.0%	3750000	-449397.94659895706	75077.75503019533	301.8983085524061	309.86951335545837	6:17
76.0%	3800000	-450339.69733642275	74439.61625747815	299.3322619780573	309.86951335545837	6:01
77.0%	3850000	-451631.4585947762	74605.82788903218	300.0006225384885	309.86951335545837	5:46
78.0%	3900000	-450623.8043146732	75447.11010835065	303.3835377432028	309.86951335545837	5:31
79.0%	3950000	-452028.1408150613	74250.3145037858	298.5710527593914	309.86951335545837	5:16
80.0%	4000000	-450448.7411169885	75078.27988369558	301.9004190628216	309.86951335545837	5:01
81.0%	4050000	-450287.58409143775	74623.31505554837	300.0709409169548	309.86951335545837	4:46
82.0%	4100000	-451099.2000245694	75873.69109165993	305.0988804205364	309.86951335545837	4:31
83.0%	4150000	-449773.9509626343	74993.42707515061	301.5592138767402	309.86951335545837	4:16
84.0%	4200000	-450115.8456060125	74730.93824839163	300.5037090500366	309.86951335545837	4:01
85.0%	4250000	-450636.3481842943	75184.00046116418	302.3255365094489	309.86951335545837	3:46
86.0%	4300000	-450266.105812615	75350.2816966148	302.99417695702704	309.86951335545837	3:31
87.0%	4350000	-451206.5388330803	75298.55367701143	302.7861712485886	309.86951335545837	3:16
88.0%	4400000	-450402.71275105025	74659.03452360812	300.21457396758734	309.86951335545837	3:01
89.0%	4450000	-450329.1994790335	74970.03935325833	301.46516852765734	309.86951335545837	2:45
90.0%	4500000	-450542.3381777769	74928.15186103662	301.2967329764591	309.86951335545837	2:30
91.0%	4550000	-451174.2586678066	74241.60403567794	298.5360267308773	309.86951335545837	2:15
92.0%	4600000	-450965.18051984673	75274.47768381407	302.68935826290357	309.86951335545837	2:00
93.0%	4650000	-450909.91167465574	74622.55889736074	300.0679002975629	309.86951335545837	1:45
94.0%	4700000	-449433.5710711896	74170.06728033548	298.2483672846335	309.86951335545837	1:30
95.0%	4750000	-452228.15425776644	74311.52110731389	298.8171731990601	309.86951335545837	1:15
96.0%	4800000	-450804.2133045073	74244.75753384251	298.54870739456425	309.86951335545837	1:00
97.0%	4850000	-450562.28894124716	74529.52759144056	299.6938082127846	309.86951335545837	0:45
98.0%	4900000	-450239.49423431954	73973.67472902138	297.45864496235345	309.86951335545837	0:30
99.0%	4950000	-450433.80563771445	75094.1809962535	301.96435969321743	309.86951335545837	0:15
100.0%	5000000	-451700.5989519856	75158.96542140383	302.22486706141933	309.86951335545837	0:00
101.0%	5050000	-450877.634238587	75021.47017376238	301.67197915633676	309.86951335545837	23:59:45
102.0%	5100000	-449752.3072740431	74794.99787312005	300.7613018928731	309.86951335545837	23:59:30
